2010-07-17 | 0.06
2010-07-18 | 0.06
2010-07-19 | 0.07
2010-07-20 | 0.07
2010-07-21 | 0.07
2010-07-22 | 0.07
2010-07-23 | 0.07
2010-07-24 | 0.06
2010-07-25 | 0.07
2010-07-26 | 0.07
2010-07-27 | 0.07
2010-07-28 | 0.06
2010-07-29 | 0.07
2010-07-30 | 0.07
2010-07-31 | 0.07
2010-08-01 | 0.08
2010-08-02 | 0.07
2010-08-03 | 0.08
2010-08-04 | 0.09
2010-08-05 | 0.08
2010-08-06 | 0.08
2010-08-07 | 0.07
2010-08-08 | 0.06
2010-08-09 | 0.07
2010-08-10 | 0.07
2010-08-11 | 0.08
2010-08-12 | 0.08
2010-08-13 | 0.09
2010-08-14 | 0.09
2010-08-15 | 0.08
